port,country,locode,lat,lon,rank,global_trade,port_url,port_in_vessels_graph,Port_arrivals_and_departures_graph,container_trade_graph,map
Aden,YE,YE ADE,12.7833,44.95,350,0.02,https://www.econdb.com/maritime/ports/async/YE ADE/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=YE ADE,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=YE ADE,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=YE ADE,https://www.econdb.com/maritime/search/?ab=12.7333%2C44.900000000000006%2C12.833300000000001%2C45.0&center=12.7833%2C44.95
Nieuwerkerk,NL,NL NRK,51.42,3.54,351,0.02,https://www.econdb.com/maritime/ports/async/NL NRK/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=NL NRK,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=NL NRK,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=NL NRK,https://www.econdb.com/maritime/search/?ab=51.370000000000005%2C3.49%2C51.47%2C3.59&center=51.42%2C3.54
Puerto Caldera,CR,CR PTC,9.91667,-84.7167,352,0.02,https://www.econdb.com/maritime/ports/async/CR PTC/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=CR PTC,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=CR PTC,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=CR PTC,https://www.econdb.com/maritime/search/?ab=9.86667%2C-84.7667%2C9.96667%2C-84.6667&center=9.91667%2C-84.7167
Porto Di Palermo,IT,IT PMO,38.119,13.38,353,0.02,https://www.econdb.com/maritime/ports/async/IT PMO/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=IT PMO,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=IT PMO,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=IT PMO,https://www.econdb.com/maritime/search/?ab=38.069%2C13.33%2C38.169%2C13.430000000000001&center=38.119%2C13.38
Coco Solo,PA,PA CSO,9.37544,-79.885,354,0.01,https://www.econdb.com/maritime/ports/async/PA CSO/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=PA CSO,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=PA CSO,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=PA CSO,https://www.econdb.com/maritime/search/?ab=9.325439999999999%2C-79.935%2C9.42544%2C-79.83500000000001&center=9.37544%2C-79.885
Canakkale,TR,TR CKZ,40.15,26.4,355,0.01,https://www.econdb.com/maritime/ports/async/TR CKZ/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=TR CKZ,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=TR CKZ,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=TR CKZ,https://www.econdb.com/maritime/search/?ab=40.1%2C26.349999999999998%2C40.199999999999996%2C26.45&center=40.15%2C26.4
Gavle,SE,SE GVX,60.6833,17.1667,356,0.01,https://www.econdb.com/maritime/ports/async/SE GVX/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=SE GVX,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=SE GVX,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=SE GVX,https://www.econdb.com/maritime/search/?ab=60.633300000000006%2C17.116699999999998%2C60.7333%2C17.2167&center=60.6833%2C17.1667
Greenock,UK,GB GRK,55.95,-4.75,357,0.01,https://www.econdb.com/maritime/ports/async/GB GRK/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=GB GRK,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=GB GRK,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=GB GRK,https://www.econdb.com/maritime/search/?ab=55.900000000000006%2C-4.8%2C56.0%2C-4.7&center=55.95%2C-4.75
Monrovia,LR,LR MLW,6.31667,-10.8167,358,0.01,https://www.econdb.com/maritime/ports/async/LR MLW/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=LR MLW,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=LR MLW,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=LR MLW,https://www.econdb.com/maritime/search/?ab=6.26667%2C-10.866700000000002%2C6.36667%2C-10.7667&center=6.31667%2C-10.8167
Yokkaichi,JP,JP YKK,34.9667,136.633,359,0.01,https://www.econdb.com/maritime/ports/async/JP YKK/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=JP YKK,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=JP YKK,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=JP YKK,https://www.econdb.com/maritime/search/?ab=34.916700000000006%2C136.583%2C35.0167%2C136.68300000000002&center=34.9667%2C136.633
La Guaira,VE,VE LAG,10.6167,-66.9333,360,0.01,https://www.econdb.com/maritime/ports/async/VE LAG/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=VE LAG,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=VE LAG,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=VE LAG,https://www.econdb.com/maritime/search/?ab=10.566699999999999%2C-66.9833%2C10.6667%2C-66.8833&center=10.6167%2C-66.9333
Mersa Sfax,TN,TN SFA,34.7333,10.7667,361,0.01,https://www.econdb.com/maritime/ports/async/TN SFA/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=TN SFA,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=TN SFA,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=TN SFA,https://www.econdb.com/maritime/search/?ab=34.6833%2C10.7167%2C34.7833%2C10.8167&center=34.7333%2C10.7667
Haugesund,NO,NO HAU,59.4167,5.26667,362,0.01,https://www.econdb.com/maritime/ports/async/NO HAU/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=NO HAU,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=NO HAU,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=NO HAU,https://www.econdb.com/maritime/search/?ab=59.3667%2C5.216670000000001%2C59.466699999999996%2C5.31667&center=59.4167%2C5.26667
Kiel,DE,DE KEL,54.3167,10.1333,363,0.01,https://www.econdb.com/maritime/ports/async/DE KEL/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=DE KEL,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=DE KEL,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=DE KEL,https://www.econdb.com/maritime/search/?ab=54.2667%2C10.0833%2C54.366699999999994%2C10.183300000000001&center=54.3167%2C10.1333
Freetown,SL,SL FNA,8.5,-13.2333,364,0.01,https://www.econdb.com/maritime/ports/async/SL FNA/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=SL FNA,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=SL FNA,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=SL FNA,https://www.econdb.com/maritime/search/?ab=8.45%2C-13.2833%2C8.55%2C-13.1833&center=8.5%2C-13.2333
Gijon,ES,ES GIJ,43.55,-5.66667,365,0.01,https://www.econdb.com/maritime/ports/async/ES GIJ/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=ES GIJ,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=ES GIJ,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=ES GIJ,https://www.econdb.com/maritime/search/?ab=43.5%2C-5.71667%2C43.599999999999994%2C-5.61667&center=43.55%2C-5.66667
Durres,AL,AL DRZ,41.3167,19.45,366,0.01,https://www.econdb.com/maritime/ports/async/AL DRZ/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=AL DRZ,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=AL DRZ,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=AL DRZ,https://www.econdb.com/maritime/search/?ab=41.2667%2C19.4%2C41.366699999999994%2C19.5&center=41.3167%2C19.45
Jiangyin,CN,CN JGY,31.9167,120.233,367,0.01,https://www.econdb.com/maritime/ports/async/CN JGY/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=CN JGY,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=CN JGY,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=CN JGY,https://www.econdb.com/maritime/search/?ab=31.866699999999998%2C120.183%2C31.9667%2C120.283&center=31.9167%2C120.233
Skikda,DZ,DZ SKI,36.8833,6.91667,368,0.01,https://www.econdb.com/maritime/ports/async/DZ SKI/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=DZ SKI,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=DZ SKI,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=DZ SKI,https://www.econdb.com/maritime/search/?ab=36.8333%2C6.86667%2C36.933299999999996%2C6.96667&center=36.8833%2C6.91667
General Santos,PH,PH GES,6.11667,125.183,369,0.01,https://www.econdb.com/maritime/ports/async/PH GES/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=PH GES,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=PH GES,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=PH GES,https://www.econdb.com/maritime/search/?ab=6.06667%2C125.13300000000001%2C6.16667%2C125.233&center=6.11667%2C125.183
"TRIPOLI, LB",LB,LB KYE,34.458,35.826,370,0.01,https://www.econdb.com/maritime/ports/async/LB KYE/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=LB KYE,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=LB KYE,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=LB KYE,https://www.econdb.com/maritime/search/?ab=34.408%2C35.776%2C34.507999999999996%2C35.876&center=34.458%2C35.826
Vila Do Conde,BR,BR VDC,-1.55,-48.75,371,0.01,https://www.econdb.com/maritime/ports/async/BR VDC/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=BR VDC,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=BR VDC,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=BR VDC,https://www.econdb.com/maritime/search/?ab=-1.6%2C-48.8%2C-1.5%2C-48.7&center=-1.55%2C-48.75
Petropavlovsk,RU,RU PKC,53.05,158.65,372,0.01,https://www.econdb.com/maritime/ports/async/RU PKC/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=RU PKC,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=RU PKC,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=RU PKC,https://www.econdb.com/maritime/search/?ab=53.0%2C158.6%2C53.099999999999994%2C158.70000000000002&center=53.05%2C158.65
Banjul,GM,GM BJL,13.45,-16.5667,373,0.01,https://www.econdb.com/maritime/ports/async/GM BJL/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=GM BJL,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=GM BJL,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=GM BJL,https://www.econdb.com/maritime/search/?ab=13.399999999999999%2C-16.6167%2C13.5%2C-16.5167&center=13.45%2C-16.5667
MANGALORE,IN,IN IXE,12.9137,74.8132,374,0.01,https://www.econdb.com/maritime/ports/async/IN IXE/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=IN IXE,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=IN IXE,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=IN IXE,https://www.econdb.com/maritime/search/?ab=12.8637%2C74.7632%2C12.963700000000001%2C74.86319999999999&center=12.9137%2C74.8132
Haldia Port,IN,IN HAL,22.0167,88.0833,375,0.01,https://www.econdb.com/maritime/ports/async/IN HAL/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=IN HAL,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=IN HAL,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=IN HAL,https://www.econdb.com/maritime/search/?ab=21.9667%2C88.0333%2C22.0667%2C88.13329999999999&center=22.0167%2C88.0833
Pohang,KR,KR KPO,36.05,129.383,376,0.01,https://www.econdb.com/maritime/ports/async/KR KPO/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=KR KPO,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=KR KPO,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=KR KPO,https://www.econdb.com/maritime/search/?ab=36.0%2C129.333%2C36.099999999999994%2C129.43300000000002&center=36.05%2C129.383
Banghazi,LY,LY BEN,32.1167,20.05,377,0.01,https://www.econdb.com/maritime/ports/async/LY BEN/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=LY BEN,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=LY BEN,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=LY BEN,https://www.econdb.com/maritime/search/?ab=32.066700000000004%2C20.0%2C32.1667%2C20.1&center=32.1167%2C20.05
Antalya,TR,TR AYT,36.8333,30.6167,378,0.01,https://www.econdb.com/maritime/ports/async/TR AYT/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=TR AYT,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=TR AYT,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=TR AYT,https://www.econdb.com/maritime/search/?ab=36.783300000000004%2C30.5667%2C36.8833%2C30.666700000000002&center=36.8333%2C30.6167
Evyap,TR,TR EYP,40.7751,29.7112,379,0.01,https://www.econdb.com/maritime/ports/async/TR EYP/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=TR EYP,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=TR EYP,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=TR EYP,https://www.econdb.com/maritime/search/?ab=40.725100000000005%2C29.6612%2C40.8251%2C29.761200000000002&center=40.7751%2C29.7112
La Pallice,FR,FR LPE,46.1667,-1.21667,380,0.01,https://www.econdb.com/maritime/ports/async/FR LPE/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=FR LPE,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=FR LPE,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=FR LPE,https://www.econdb.com/maritime/search/?ab=46.1167%2C-1.26667%2C46.216699999999996%2C-1.1666699999999999&center=46.1667%2C-1.21667
Huangpu,CN,CN HUA,23.0833,113.417,381,0.01,https://www.econdb.com/maritime/ports/async/CN HUA/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=CN HUA,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=CN HUA,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=CN HUA,https://www.econdb.com/maritime/search/?ab=23.0333%2C113.367%2C23.133300000000002%2C113.467&center=23.0833%2C113.417
Bergen,NO,NO BGO,60.4,5.31667,382,0.01,https://www.econdb.com/maritime/ports/async/NO BGO/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=NO BGO,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=NO BGO,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=NO BGO,https://www.econdb.com/maritime/search/?ab=60.35%2C5.26667%2C60.449999999999996%2C5.36667&center=60.4%2C5.31667
Larvik,NO,NO LAR,59.05,10.0333,383,0.01,https://www.econdb.com/maritime/ports/async/NO LAR/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=NO LAR,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=NO LAR,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=NO LAR,https://www.econdb.com/maritime/search/?ab=59.0%2C9.9833%2C59.099999999999994%2C10.083300000000001&center=59.05%2C10.0333
Elizabethport,US,US ZIP,40.65,-74.1833,384,0.01,https://www.econdb.com/maritime/ports/async/US ZIP/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=US ZIP,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=US ZIP,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=US ZIP,https://www.econdb.com/maritime/search/?ab=40.6%2C-74.2333%2C40.699999999999996%2C-74.1333&center=40.65%2C-74.1833
Hanko,FI,FI HKO,59.8167,22.95,385,0.01,https://www.econdb.com/maritime/ports/async/FI HKO/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=FI HKO,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=FI HKO,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=FI HKO,https://www.econdb.com/maritime/search/?ab=59.7667%2C22.9%2C59.866699999999994%2C23.0&center=59.8167%2C22.95
RIO HAINA,DO,DO HAI,18.4228,-70.0163,386,0.01,https://www.econdb.com/maritime/ports/async/DO HAI/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=DO HAI,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=DO HAI,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=DO HAI,https://www.econdb.com/maritime/search/?ab=18.372799999999998%2C-70.0663%2C18.4728%2C-69.9663&center=18.4228%2C-70.0163
Taicang,CN,CN TAG,31.644,121.219,387,0.01,https://www.econdb.com/maritime/ports/async/CN TAG/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=CN TAG,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=CN TAG,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=CN TAG,https://www.econdb.com/maritime/search/?ab=31.593999999999998%2C121.169%2C31.694%2C121.26899999999999&center=31.644%2C121.219
Moss,NO,NO MSS,59.45,10.6667,388,0.01,https://www.econdb.com/maritime/ports/async/NO MSS/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=NO MSS,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=NO MSS,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=NO MSS,https://www.econdb.com/maritime/search/?ab=59.400000000000006%2C10.6167%2C59.5%2C10.716700000000001&center=59.45%2C10.6667
Maputo,MZ,MZ MPM,-25.9628,32.5447,389,0.01,https://www.econdb.com/maritime/ports/async/MZ MPM/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=MZ MPM,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=MZ MPM,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=MZ MPM,https://www.econdb.com/maritime/search/?ab=-26.012800000000002%2C32.4947%2C-25.9128%2C32.594699999999996&center=-25.9628%2C32.5447
Civitavecchia,IT,IT CVV,42.102,11.771,390,0.01,https://www.econdb.com/maritime/ports/async/IT CVV/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=IT CVV,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=IT CVV,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=IT CVV,https://www.econdb.com/maritime/search/?ab=42.052%2C11.721%2C42.151999999999994%2C11.821000000000002&center=42.102%2C11.771
Bari,IT,IT BRI,41.146,16.846,391,0.01,https://www.econdb.com/maritime/ports/async/IT BRI/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=IT BRI,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=IT BRI,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=IT BRI,https://www.econdb.com/maritime/search/?ab=41.096000000000004%2C16.796%2C41.196%2C16.896&center=41.146%2C16.846
Johor,MY,MY JHB,1.43333,103.9,392,0.01,https://www.econdb.com/maritime/ports/async/MY JHB/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=MY JHB,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=MY JHB,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=MY JHB,https://www.econdb.com/maritime/search/?ab=1.38333%2C103.85000000000001%2C1.48333%2C103.95&center=1.43333%2C103.9
Brake,DE,DE BKE,53.3333,8.48333,393,0.01,https://www.econdb.com/maritime/ports/async/DE BKE/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=DE BKE,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=DE BKE,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=DE BKE,https://www.econdb.com/maritime/search/?ab=53.283300000000004%2C8.43333%2C53.3833%2C8.533330000000001&center=53.3333%2C8.48333
Europa Point,GI,GI GIB,36.1333,-5.35,394,0.01,https://www.econdb.com/maritime/ports/async/GI GIB/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=GI GIB,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=GI GIB,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=GI GIB,https://www.econdb.com/maritime/search/?ab=36.0833%2C-5.3999999999999995%2C36.183299999999996%2C-5.3&center=36.1333%2C-5.35
Songkhla Harbor,TH,TH SGK,7.21667,100.583,395,0.01,https://www.econdb.com/maritime/ports/async/TH SGK/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=TH SGK,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=TH SGK,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=TH SGK,https://www.econdb.com/maritime/search/?ab=7.16667%2C100.533%2C7.2666699999999995%2C100.633&center=7.21667%2C100.583
Chester,US,US CHT,39.85,-75.35,396,0.01,https://www.econdb.com/maritime/ports/async/US CHT/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=US CHT,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=US CHT,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=US CHT,https://www.econdb.com/maritime/search/?ab=39.800000000000004%2C-75.39999999999999%2C39.9%2C-75.3&center=39.85%2C-75.35
Kalundborg,DK,DK KAL,55.6833,11.1,397,0.01,https://www.econdb.com/maritime/ports/async/DK KAL/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=DK KAL,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=DK KAL,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=DK KAL,https://www.econdb.com/maritime/search/?ab=55.633300000000006%2C11.049999999999999%2C55.7333%2C11.15&center=55.6833%2C11.1
Ceuta,ES,ES CEU,35.9,-5.31667,398,0.01,https://www.econdb.com/maritime/ports/async/ES CEU/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=ES CEU,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=ES CEU,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=ES CEU,https://www.econdb.com/maritime/search/?ab=35.85%2C-5.36667%2C35.949999999999996%2C-5.26667&center=35.9%2C-5.31667
Sagunto,ES,ES SAG,39.65,-0.216667,399,0.01,https://www.econdb.com/maritime/ports/async/ES SAG/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=ES SAG,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=ES SAG,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=ES SAG,https://www.econdb.com/maritime/search/?ab=39.6%2C-0.266667%2C39.699999999999996%2C-0.166667&center=39.65%2C-0.216667
Kuching,MY,MY KCH,1.56667,110.35,400,0.01,https://www.econdb.com/maritime/ports/async/MY KCH/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=MY KCH,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=MY KCH,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=MY KCH,https://www.econdb.com/maritime/search/?ab=1.51667%2C110.3%2C1.61667%2C110.39999999999999&center=1.56667%2C110.35
Lubeck,DE,DE LBC,53.8833,10.7,401,0.01,https://www.econdb.com/maritime/ports/async/DE LBC/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=DE LBC,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=DE LBC,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=DE LBC,https://www.econdb.com/maritime/search/?ab=53.8333%2C10.649999999999999%2C53.933299999999996%2C10.75&center=53.8833%2C10.7
Victoria,SC,SC POV,-4.61667,55.45,402,0.01,https://www.econdb.com/maritime/ports/async/SC POV/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=SC POV,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=SC POV,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=SC POV,https://www.econdb.com/maritime/search/?ab=-4.66667%2C55.400000000000006%2C-4.56667%2C55.5&center=-4.61667%2C55.45
Paramaribo,SR,SR PBM,5.83333,-55.1667,403,0.01,https://www.econdb.com/maritime/ports/async/SR PBM/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=SR PBM,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=SR PBM,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=SR PBM,https://www.econdb.com/maritime/search/?ab=5.78333%2C-55.216699999999996%2C5.88333%2C-55.1167&center=5.83333%2C-55.1667
Waarde,NL,NL WDE,51.4185,4.06816,404,0.01,https://www.econdb.com/maritime/ports/async/NL WDE/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=NL WDE,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=NL WDE,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=NL WDE,https://www.econdb.com/maritime/search/?ab=51.368500000000004%2C4.01816%2C51.4685%2C4.11816&center=51.4185%2C4.06816
Catania,IT,IT CTA,37.5,15.1,405,0.01,https://www.econdb.com/maritime/ports/async/IT CTA/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=IT CTA,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=IT CTA,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=IT CTA,https://www.econdb.com/maritime/search/?ab=37.45%2C15.049999999999999%2C37.55%2C15.15&center=37.5%2C15.1
